70,55,5,4.9
64,70,10,4.9
32,58,15,4.9
61,40,20,4.9
70,55,5,4.9
64,70,10,4.9
70,55,5,4.9
64,70,10,4.9
32,58,15,4.9
61,40,20,4.9
32,58,15,4.9
61,40,20,4.9
71,56,5,5
62,71,10,5
30,56.5,15,5
60.5,40,20,5
71,56,5,5
62,71,10,5
71,56,5,5
62,71,10,5
30,56.5,15,5
60.5,40,20,5
30,56.5,15,5
60.5,40,20,5
72,57,5,5.1
60,72,10,5.1
28,55,15,5.1
60,40,20,5.1
72,57,5,5.1
60,72,10,5.1
72,57,5,5.1
60,72,10,5.1
28,55,15,5.1
60,40,20,5.1
28,55,15,5.1
60,40,20,5.1
73,58,5,5.2
58,73,10,5.2
26,53.5,15,5.2
59.5,40,20,5.2
73,58,5,5.2
58,73,10,5.2
73,58,5,5.2
58,73,10,5.2
26,53.5,15,5.2
59.5,40,20,5.2
26,53.5,15,5.2
59.5,40,20,5.2
74,59,5,5.3
56,74,10,5.3
24,52,15,5.3
59,40,20,5.3
74,59,5,5.3
56,74,10,5.3
74,59,5,5.3
56,74,10,5.3
24,52,15,5.3
59,40,20,5.3
24,52,15,5.3
59,40,20,5.3
75,60,5,5.4
54,75,10,5.4
22,50.5,15,5.4
58.5,40,20,5.4
75,60,5,5.4
54,75,10,5.4
75,60,5,5.4
54,75,10,5.4
22,50.5,15,5.4
58.5,40,20,5.4
22,50.5,15,5.4
58.5,40,20,5.4
76,61,5,5.5
52,76,10,5.5
20,49,15,5.5
58,40,20,5.5
76,61,5,5.5
52,76,10,5.5
76,61,5,5.5
52,76,10,5.5
20,49,15,5.5
58,40,20,5.5
20,49,15,5.5
58,40,20,5.5
77,62,5,5.6
50,77,10,5.6
18,47.5,15,5.6
57.5,40,20,5.6
77,62,5,5.6
50,77,10,5.6
77,62,5,5.6
50,77,10,5.6
18,47.5,15,5.6
57.5,40,20,5.6
18,47.5,15,5.6
57.5,40,20,5.6
78,63,5,5.7
48,78,10,5.7
16,46,15,5.7
57,40,20,5.7
78,63,5,5.7
48,78,10,5.7
78,63,5,5.7
48,78,10,5.7
16,46,15,5.7
57,40,20,5.7
16,46,15,5.7
57,40,20,5.7
79,64,5,5.8
46,79,10,5.8
14,44.5,15,5.8
56.5,40,20,5.8
79,64,5,5.8
46,79,10,5.8
79,64,5,5.8
46,79,10,5.8
14,44.5,15,5.8
56.5,40,20,5.8
14,44.5,15,5.8
56.5,40,20,5.8
80,65,5,5.9
44,80,10,5.9
16,43,15,5.9
56,40,20,5.9
80,65,5,5.9
44,80,10,5.9
80,65,5,5.9
44,80,10,5.9
16,43,15,5.9
56,40,20,5.9
16,43,15,5.9
56,40,20,5.9
81,66,5,6
42,81,10,6
18,41.5,15,6
55.5,40,20,6
81,66,5,6
42,81,10,6
81,66,5,6
42,81,10,6
18,41.5,15,6
55.5,40,20,6
18,41.5,15,6
55.5,40,20,6
82,67,5,6.1
40,82,10,6.1
20,40,15,6.1
55,40,20,6.1
82,67,5,6.1
40,82,10,6.1
82,67,5,6.1
